"...1";"...2";"...3"
-11,3874;-0,7234;366,0975
10,4532;-6,949;364,1223
2,0297;-6,4079;361,611
-9,5505;-1,5468;366,0131
-1,3218;-5,6457;363,8362
1,4841;-7,0585;367,1374
2,4346;-7,1194;364,2667
0,2731;-6,8371;368,0883
1,2097;-7,1042;366,9352
-7,0315;-2,7453;366,3738
1,845;-6,6963;362,3941
-3,7208;-4,4241;368,7481
5,4827;-7,2799;364,9439
0,0355;-6,929;367,1549
3,5509;-7,6984;365,9821
-5,6706;-3,4211;366,8369
1,1503;-6,2232;362,265
4,5061;-7,6525;366,0452
-2,2165;-5,5709;366,412
-7,2574;-2,6599;366,0216
-7,4827;-2,4715;367,3383
-1,2974;-6,1488;367,1499
-6,4645;-3,1417;364,9964
-4,2044;-4,1982;363,8252
-9,9223;-1,1775;367,6428
3,2809;-6,9465;362,6775
6,6011;-7,1573;364,7538
1,3877;-6,614;363,9932
-9,4204;-1,6934;366,8331
-0,6564;-6,5662;368,4291
6,1206;-7,0889;364,1674
-5,3181;-3,8359;365,4106
5,237;-6,723;363,336
-5,4597;-3,4374;367,759
3,3014;-7,6215;364,4456
4,518;-7,8119;364,9346
-8,0877;-2,2198;367,0548
-10,6402;-1,217;366,7381
9,1737;-7,226;363,8952
6,1938;-6,8163;363,5968
3,0924;-7,4738;365,4546
2,6119;-7,6535;366,9872
-8,8984;-1,8973;367,0313
-3,8259;-4,7335;366,1804
-3,5674;-4,7287;365,1733
-2,0032;-5,6115;365,1425
1,8404;-7,0782;365,7575
-3,6989;-4,6493;367,4223
7,5093;-6,9884;364,0738
7,8482;-6,7391;363,4671
-2,8295;-4,8883;363,339
-5,3714;-3,8552;364,8773
2,3894;-7,44;366,3285
4,3232;-6,6736;362,9665
0,6195;-6,7182;365,7
-0,4912;-6,2245;365,3296
-8,3176;-2,1598;366,0583
-5,4758;-3,6408;366,1231
0,085;-6,1472;363,8137
-0,6642;-5,5736;362,6342
-10,7231;-0,9167;367,6528
-2,0076;-5,587;368,7508
-3,1606;-4,8145;364,2151
5,6355;31,2154;362,1032
9,8269;4,1251;361,5445
-7,94;30,5973;361,2406
9,4951;6,0697;361,6709
8,4041;12,3327;361,5324
12,9809;1,3319;362,0555
10,0627;-3,4708;362,7085
1,8068;-3,7489;361,0168
4,3406;34,3714;361,7135
4,1901;13,6876;361,4504
0,9086;21,5294;361,8038
-3,4026;31,3759;361,1726
8,4019;7,9595;361,489
-8,2203;27,3667;360,6985
2,3777;12,7461;361,4593
-2,0449;34,9491;360,8934
10,5203;19,8846;363,6546
1,1033;5,2799;361,5075
-3,3863;29,3474;361,0392
7,4525;3,6907;361,0771
-4,4633;24,2204;361,3844
-9,9366;0,6477;365,3096
-7,9009;1,5861;364,6462
3,5153;3,4536;360,8021
8,5211;16,8259;362,2508
-2,39;24,4544;361,6132
4,5643;22,462;362,5847
-1,2778;-4,2952;362,0986
0,4388;14,6208;361,7021
-8,331;32,9087;360,4667
6,1276;-5,2468;361,9288
12,3995;5,2716;362,1495
1,9472;34,9544;361,4201
0,8165;8,4596;361,765
0,537;33,9043;361,4219
3,4382;28,3795;361,8877
-3,5318;27,3612;360,8447
7,4023;1,0168;361,0407
4,8126;-4,8938;361,5784
8,3523;18,953;362,7186
-2,7097;22,7745;361,8747
5,692;2,1267;360,7273
4,3859;10,8585;361,4884
7,0067;6,3234;361,2258
-7,6291;23,8676;360,9626
7,2039;-1,3461;361,1981
3,1117;6,5031;361,2586
-8,6088;4,9347;363,8807
5,3114;4,9126;361,0377
3,2765;-4,9961;361,3485
-1,4751;25,7548;361,1576
-7,1743;19,8119;361,4462
2,4197;17,8204;361,7418
3,2286;26,3192;362,1835
10,9502;7,7893;362,1226
-4,886;-3,0467;363,901
-7,6132;9,9261;363,0378
8,6747;-3,2421;362,1001
-7,7752;34,9704;360,1038
5,8663;-2,9746;361,2005
-8,3073;29,1255;360,9403
1,3775;2,1498;361,0362
-5,8864;18,8807;361,5001
2,658;24,3577;362,3147
-7,2814;17,2751;361,4926
3,84;0,4308;360,4787
-1,2938;33,2926;361,4371
6,264;32,9102;362,1987
-1,3072;10,4843;362,2035
-4,9062;14,407;361,898
-5,6803;29,0001;360,895
6,3635;18,6243;362,2694
4,3291;20,502;362,0656
10,8522;21,5916;363,7833
-1,0733;29,594;361,196
-7,9064;7,451;363,2779
-7,3502;12,2071;362,4103
-3,6011;3,142;362,8536
4,2973;16,0701;361,747
-9,3519;2,7754;364,5305
-7,1131;6,7135;363,3354
9,3087;23,301;363,318
-5,8615;2,158;363,8361
-5,9019;16,0444;361,763
8,5272;27,4529;363,0726
-7,2756;21,9108;361,3286
7,3016;-3,3647;361,6852
8,0068;29,6227;362,6479
-2,9538;18,3794;361,4001
-5,8121;31,1186;361,2607
2,6411;19,8569;361,7511
0,481;17,2899;361,5987
8,3332;31,2655;362,4478
2,2969;15,4853;361,663
-0,9741;1,0572;361,8923
11,6992;27,265;363,65
-1,3118;16,5041;361,5785
1,1508;27,9326;361,4639
-5,461;8,0764;362,9679
9,9591;25,4648;363,2929
-1,4005;13,6025;361,86
2,7012;9,6207;361,4324
