"...1";"...2";"...3"
-5,5132;7,3944;335,9198
7,7864;9,573;332,9135
3,7128;6,81;333,4554
-4,1835;6,8655;335,529
3,5363;6,2389;335,153
7,804;7,6975;339,1871
6,3914;7,1873;335,272
7,0665;7,1598;339,6083
6,8024;7,1198;337,969
0,7203;6,0421;336,1289
5,161;6,5789;334,0258
4,4674;6,1572;338,6837
7,9492;8,3507;336,0083
6,1447;6,6148;337,645
7,8492;8,156;337,6349
2,5592;5,8423;337,0821
4,0005;6,4884;334,0957
8,3232;8,616;337,4932
4,6361;6,0125;336,8344
-0,4085;6,1916;335,7186
1,5429;5,7347;337,4694
5,4306;6,1625;337,4372
-1,9212;6,4487;334,9472
-0,443;6,4633;334,4839
-1,0626;5,9523;336,8661
6,128;7,1096;334,0303
8,0954;8,7139;335,5008
5,7623;6,5355;335,1471
-1,9182;6,1514;335,9215
6,3014;6,6266;339,0534
7,6702;8,4949;334,8201
1,3118;6,0205;335,6835
7,2069;8,2999;333,946
3,1742;5,8388;338,0373
6,9821;7,7008;335,3361
7,5607;8,0724;336,2855
0,6205;6,0003;336,7372
-3,621;6,5276;335,9504
7,7057;9,187;333,3085
7,4781;8,586;333,9832
7,1005;7,686;336,5615
8,3551;8,2581;338,9154
-0,649;6,0206;336,2164
3,4454;5,947;336,6209
2,8665;6,0701;335,8518
4,171;6,0912;335,9535
6,5521;7,1904;336,5753
4,0914;5,9325;337,601
7,7374;8,7891;334,2246
7,6295;9,0884;333,3259
1,1629;6,2868;334,6088
0,1906;6,2768;335,2274
7,4061;7,656;337,8842
6,7834;7,832;333,9601
5,975;6,5514;336,3681
5,2577;6,1747;336,0903
-2,1584;6,3166;335,5367
2,1092;5,9146;336,3143
4,7647;6,2888;335,1035
2,6863;6,3962;334,4563
-2,4982;6,2787;336,4327
5,4762;6,4444;338,7907
2,0922;6,1478;335,2185
-2,0692;49,8247;332,8825
14,3386;28,5065;333,8981
-27,0256;42,818;335,3933
15,2782;30,6733;334,5028
15,5224;36,4109;335,4319
14,3322;26,7231;333,7867
9,9141;16,366;333,2277
3,6667;10,4248;332,1843
-4,3182;52,6109;332,7611
8,626;34,5384;334,4409
-2,8796;39,2206;333,9309
-18,6462;45,7738;333,6071
14,9113;31,9337;334,7206
-25,8852;38,6147;337,0443
4,8233;31,9976;334,0555
-16,3144;50,7439;332,4047
16,7777;46,2466;333,6971
2,8081;22,7331;333,2112
