"...1";"...2";"...3"
-7,0507;25,7302;336,9647
-0,115;26,3582;335,3011
-2,8875;26,382;335,2205
-6,3502;25,6961;336,5026
-4,0877;25,9236;335,6333
-3,9971;25,5269;336,6639
-2,6047;26,0685;335,5313
-4,5858;25,4685;336,6526
-3,8847;25,7026;336,2041
-6,1622;25,6996;336,3905
-2,6782;26,2526;335,2945
-6,064;25,4488;336,5828
-1,9833;25,8199;336,1115
-4,2501;25,6831;336,1321
-2,9816;25,7279;336,382
-6,25;25,6895;336,4428
-3,1892;26,2365;335,3466
-2,6177;25,6317;336,6896
-4,8901;25,6573;336,0517
-5,8819;25,6563;336,2924
-7,0876;25,8017;336,7776
-4,7241;25,6307;336,1332
-5,2205;25,7799;335,8714
-4,4433;26,0063;335,5771
-7,4558;26,0167;337,1679
-2,0511;26,2669;335,2546
-1,5058;25,8044;336,2183
-3,087;26,0604;335,5449
-6,629;25,7477;336,7095
-4,8745;25,4814;336,4945
-1,3771;26,0375;335,6591
-5,36;25,6885;336,0477
-1,1478;26,2561;335,3013
-6,5222;25,6693;336,6436
-2,2023;26,0545;335,5648
-2,359;25,8861;335,9362
-6,8892;25,8243;336,7264
-6,9536;25,7137;336,8111
-0,3836;26,2222;335,3949
-0,9598;26,1992;335,3792
-2,8168;25,9046;335,886
-3,5232;25,532;336,8475
-6,7357;25,8449;336,7439
-5,3886;25,6363;336,1268
-4,9707;25,7175;335,9325
-4,5118;25,7737;335,8509
-3,2544;25,9061;335,8564
-5,7059;25,5558;336,3203
-0,9197;26,057;335,6495
-0,3749;26,2782;335,3223
-4,1583;26,044;335,5229
-5,0491;25,7445;335,8916
-3,4229;25,7386;336,2558
-1,4844;26,2971;335,2464
-3,6738;25,8777;335,829
-4,0375;25,8381;335,8103
-5,9992;25,6364;336,3563
-5,7987;25,679;336,244
-3,6102;26,0038;335,5789
-3,6885;26,1535;335,4279
-7,4286;25,9941;337,1655
-5,3929;25,444;336,4993
-4,5589;25,8388;335,7362
-0,2951;46,3924;336,1668
6,2945;32,7537;338,7928
-14,4991;47,2445;338,3371
7,0106;33,8294;338,9075
7,0461;37,3995;338,3647
6,5262;32,0067;338,9737
2,397;28,2221;336,7025
-1,7415;27,7588;335,2146
-1,8403;46,87;336,0592
2,8326;37,1933;337,2782
-2,5287;41,5934;336,1659
-9,3795;47,7451;336,5736
6,6784;34,7118;338,6567
-14,2953;44,6738;338,5612
0,9917;36,3396;336,6786
-7,568;49,5387;336,4349
8,3072;42,8589;337,5852
-0,2703;32,3211;336,0478
-9,5152;46,5185;336,6283
4,3449;32,158;337,9037
-9,5306;42,821;336,5215
-7,2227;27,3569;336,711
-6,1521;28,7514;336,0236
1,281;31,6677;336,4571
6,6134;40,323;337,7473
-7,2675;43,2026;336,1766
1,1376;42,9852;336,3483
-3,3275;26,8458;335,2438
-1,2232;37,1168;336,2354
-14,1655;48,8835;338,2455
-0,1585;27,1573;335,4865
8,797;34,0853;339,503
-4,1028;47,8094;335,9985
-0,4211;33,8889;336,2076
-5,3762;48,1175;336,0524
-1,8308;45,6839;336,0172
-9,413;45,2262;336,5951
3,2685;30,7167;337,2941
-0,6655;27,3408;335,3536
6,1274;41,6897;337,3128
-7,0331;41,8881;336,1092
2,4904;31,1894;336,9255
3,0788;35,6159;337,2495
4,8485;33,5307;338,143
-12,9835;42,4118;337,9003
2,1422;29,4249;336,6102
1,4371;33,1644;336,6685
-7,907;31,0952;336,2796
2,9931;32,5856;337,2737
-1,551;27,2379;335,2027
-6,6664;44,2443;336,1391
-11,7361;39,4647;336,9538
0,2043;39,4356;336,6434
-1,4647;44,8207;336,0196
9,0071;35,2063;339,3546
-4,5095;26,508;335,4924
-9,6151;33,8348;336,2723
1,9426;28,3523;336,4469
-13,0364;49,8635;337,9763
0,661;28,4689;335,8885
-14,9738;45,9481;338,6057
-0,3866;30,7807;335,8184
-9,764;38,8364;336,2422
-1,4922;43,7293;336,0948
-11,4251;37,6168;336,5919
0,7551;30,1689;336,1085
-7,0506;48,5376;336,097
0,3815;46,5094;336,2296
-2,3755;34,7077;335,6037
-6,7229;36,2891;335,7115
-12,0964;46,2569;337,4556
4,1096;40,9633;337,126
1,4583;41,6807;336,6213
7,9405;43,9273;337,2776
-6,8398;46,5245;336,1215
-8,4669;32,6401;336,1627
-10,0902;34,8703;336,3209
-3,3576;30,6742;335,0345
2,5533;38,7357;337,1398
-7,5789;29,4054;336,649
-6,7409;32,2615;335,7861
5,6332;44,472;336,5928
-4,7793;29,688;335,4116
-8,993;37,0552;336,048
3,2673;46,1584;336,3915
-12,283;41,0294;337,3902
1,2724;28,2886;336,0697
2,2045;46,5581;336,3642
-5,8858;38,8183;335,8433
-12,0517;47,7186;337,4502
-0,1905;40,8705;336,4907
-1,7271;38,7035;336,2406
2,5735;46,9759;336,3294
0,5939;37,9198;336,7135
-1,9251;29,9183;335,2423
6,1993;46,9011;336,5509
-3,4887;37,9779;335,7853
-4,2031;45,5393;336,0004
-5,456;33,103;335,4015
5,2595;45,6945;336,4399
-2,8447;36,3581;335,5861
1,3225;34,7027;336,71
-8,9685;41,3959;336,3518
4,5691;47,3337;336,7582
-0,1429;28,6183;335,6697
3,2441;29,8553;337,2505
3,3986;29,435;337,3388
-0,8117;29,2593;335,5417
-3,4647;29,0352;335,2034
5,8367;43,0811;336,9447
-1,8809;31,5084;335,4224
8,6227;40,9117;338,0276
-4,1528;39,5287;335,984
-6,7997;45,4335;336,1421
8,9469;38,1712;338,7333
-7,6425;33,8629;335,8751
-6,578;40,4157;336,0088
-2,2314;46,3254;336,0484
-11,9128;43,7523;337,3582
-2,8629;46,9192;336,0276
4,7714;30,5064;338,1453
-6,3054;30,5538;335,8416
8,2089;42,0984;337,6581
4,8111;38,0486;337,7548
0,738;26,9937;335,5416
4,92;35,047;338,0533
-2,051;33,1071;335,5526
4,8797;30,9168;338,1868
5,0392;36,5183;337,933
3,1936;34,061;337,418
-10,4439;40,7077;336,6003
8,8097;39,4851;338,4135
-4,7078;47,2332;335,9989
3,692;42,331;336,7935
4,8279;31,464;338,16
1,5576;29,787;336,3781
-6,8975;47,5359;336,074
-5,0365;27,7929;335,6419
4,5794;39,5444;337,4262
0,9604;45,3494;336,165
-3,968;33,939;335,096
-3,6634;27,6416;335,3063
-3,8844;43,3297;336,0323
-6,1016;34,6503;335,5639
9,4428;36,8749;339,0632
-11,4718;48,9749;337,1726
7,3594;36,0042;338,6408
-4,4981;35,5045;335,4584
-9,702;44,0895;336,6408
-3,5385;32,3453;334,9867
-4,8399;42,3719;336,0168
-4,0849;44,5151;335,9847
2,1899;40,2204;336,9655
-7,4504;37,9956;335,906
0,364;46,0161;336,1807
-2,2879;28,4063;335,1896
-8,2281;39,7417;336,1139
-8,2744;35,4024;335,908
7,8297;46,1328;336,8488
6,7802;38,8748;338,0664
3,0953;44,8328;336,2511
0,8664;44,1916;336,1402
-5,1371;37,1483;335,6766
-4,402;46,4237;336,0111
-4,9495;31,4342;335,3803
-1,2029;42,4914;336,2469
0,5554;27,2694;335,5535
-0,7211;35,4634;336,2728
3,4014;43,6343;336,4365
-9,1008;48,9123;336,4959
-13,5769;43,5642;338,2321
8,1247;44,9764;337,0856
-12,2796;45,0115;337,6097
7,4614;32,9437;339,3721
-11,3087;42,3926;337,0576
-2,2042;40,1796;336,2228
-10,652;36,126;336,3418
-6,2438;26,3091;336,3063
-10,4667;50,0537;337,0096
-4,6299;40,9954;336,0646
-11,7408;39,0932;337,6369
-3,7572;41,998;338,8481
7,3513;33,1191;340,307
0,626;27,6052;338,1353
-6,225;28,3578;338,0986
7,5233;38,1818;339,9011
1,2029;42,4888;339,6164
-7,2924;27,3181;337,7597
7,7575;44,6365;337,7019
-7,8494;26,3136;337,4541
-12,0621;37,8548;337,3364
-5,1174;45,0766;338,4328
-1,9056;33,8621;339,0542
-4,0506;36,5683;338,2743
-3,8664;47,5479;336,0037
-0,1554;40,0741;339,218
-4,3474;25,9691;337,0134
5,0558;31,8452;340,7175
-3,2614;46,5159;336,9053
-7,5226;35,1297;337,3148
-8,4367;44,0634;338,8442
-3,4283;34,833;338,4581
0,265;34,1474;339,7117
3,4189;46,822;337,8395
-12,7275;42,8063;338,6476
-5,5333;47,5876;336,8452
2,4908;39,5836;339,6916
-4,9704;43,2749;338,8587
-5,3437;34,8204;337,8614
-1,9955;37,4879;338,8154
1,8601;29,0751;339,2338
-11,0523;37,2733;337,195
-1,5295;46,5186;336,3667
6,4279;32,1873;339,7394
4,8836;38,9926;340,082
-1,6294;27,1321;338,2236
-5,8678;30,0883;338,1574
-7,4214;26,4055;337,4619
7,0321;41,7958;338,7336
8,0315;36,5455;340,439
-13,1095;45,2736;339,033
-10,6623;46,6592;339,0293
-0,7282;41,5326;339,2073
-8,9431;39,8229;338,008
5,7761;43,2482;338,5467
-13,5137;46,4903;339,1481
5,1726;44,7528;338,2235
1,2168;45,9286;338,7478
0,6207;35,5519;339,6154
-5,2736;45,9191;337,8159
-1,6215;35,7947;338,9487
-7,6907;47,5658;337,9473
-8,0527;49,7446;336,9292
3,4952;32,7055;341,0464
6,1009;47,3938;336,9605
-3,4212;28,4099;338,4735
-0,6046;32,7135;339,6614
-0,7284;26,1215;336,4601
-10,6848;34,8016;336,6445
-8,7177;36,7285;337,3356
1,4346;46,8238;336,829
-14,8368;45,3655;339,0248
-1,6861;29,0993;339,5296
4,1288;45,8962;338,1702
-2,8441;40,6669;338,8277
-12,6385;49,0663;338,7417
-0,7389;28,5114;339,4262
-6,8101;27,0633;337,6956
2,8151;28,8551;337,8272
5,4123;35,8343;340,6659
-7,0535;26,0976;337,2253
-5,1397;26,0479;337,0342
1,3783;46,6217;337,7122
5,31;37,3697;340,3783
9,6983;35,5013;340,2764
-9,7912;50,3132;337,6716
-15,1865;48,4744;338,9575
-6,1547;48,6759;336,4588
7,4424;34,9833;340,8447
-8,1764;33,8133;336,9693
2,0441;31,2431;340,8179
-8,1307;45,3878;338,9451
-13,3134;47,7808;338,9761
-9,6573;32,9774;336,5958
-2,4278;25,9686;337,2987
2,8147;37,9978;339,9085
-11,1364;40,129;337,9342
8,5253;43,3044;337,9399
3,9978;41,9828;339,2919
-14,6576;49,7271;338,7536
-4,4359;31,271;338,4435
-6,3477;36,4934;337,7897
-3,3991;30,5007;338,9999
-6,1952;44,4068;338,9399
-7,0765;38,1597;337,9182
-4,2366;33,1074;338,3219
3,9725;47,4124;336,7324
-4,8953;27,4081;337,6984
-6,2366;33,4659;337,5279
6,319;33,6444;341,323
-11,3549;44,1747;338,8945
9,4662;39,1034;339,1217
2,9422;43,4094;339,0399
-2,162;39,0363;338,8742
0,3411;38,5517;339,3138
-6,034;41,2795;338,5161
-9,4993;33,8381;336,7032
-3,3158;26,7903;337,5175
-11,1086;41,5062;338,2947
8,5343;34,1247;340,3338
-12,2814;50,1468;338,2777
0,4115;29,9735;340,5656
-7,6554;46,4629;338,6111
-6,6907;39,7616;338,1908
-8,8991;42,7758;338,6241
-10,2815;47,9255;338,7042
-7,5198;28,0477;337,581
-2,6012;29,7996;339,4877
-9,9127;49,2335;338,2795
-8,6977;41,339;338,3552
2,9071;34,9309;340,3483
-3,9827;27,1757;337,5567
-1,5273;31,2392;339,5211
0,4952;37,0207;339,4052
-2,5523;27,9187;338,3892
8,8188;40,6815;338,6826
-2,9794;45,8137;337,3097
-6,9675;28,8989;337,8058
-7,2422;32,1967;337,1524
-12,8741;44,0554;338,8569
-5,7206;31,8409;337,8433
-10,8576;45,3156;339,0127
-1,7606;42,8474;339,1438
-8,7639;31,0001;336,7767
-0,027;43,8282;339,3471
0,7862;31,924;340,2625
-9,7973;35,4803;336,8776
-2,5545;45,2979;338,2938
-7,7818;26,3049;337,4452
-8,2731;28,9221;337,2593
-4,9457;29,5758;338,5965
0,8204;26,8752;336,3398
-5,3999;28,1372;338,08
9,9102;37,4868;339,6156
3,0688;36,4508;340,1182
-4,4643;39,8269;338,5404
4,6408;30,5974;338,7357
-12,4787;41,2073;338,2772
-2,725;32,1722;338,9765
-11,2263;42,8505;338,6034
-6,0007;26,9525;337,5477
-8,5651;32,083;336,7488
-6,6207;42,6706;338,6982
-0,8167;45,8684;337,1168
-11,4908;36,1049;336,8484
7,2141;46,4852;337,2947
-5,4606;46,8231;337,3366
-4,548;38,2462;338,3618
2,2163;44,6524;338,8621
4,8812;40,5826;339,5987
-0,48;30,5329;340,0664
-0,2821;45,1472;339,1532
1,974;41,0262;339,6404
-6,8667;30,5915;337,5253
-7,7267;48,5619;337,3184
3,4658;30,4785;339,9467
1,96;33,3921;340,4017
-3,3142;43,9161;338,8981
-7,9474;30,1217;337,1047
-12,8645;40,1313;337,878
7,0818;39,7358;339,413
-6,1067;25,9418;337,0422
4,7051;34,252;340,9243
-0,5322;45,9573;338,0208
-14,3817;44,1365;338,9614
-13,7095;42,7787;338,5742
-9,6048;38,3736;337,6023
-2,3745;44,5889;338,8361
-4,175;28,9344;338,7245
-15,2189;46,969;339,0623
-7,0425;25,7658;336,8866
-6,058;25,7861;336,2409
-5,1406;25,8935;335,75
-4,3285;26,0931;335,456
-3,7623;26,2564;335,3232
-3,2542;26,3893;335,2445
-2,6852;26,4964;335,1951
-1,9362;26,5648;335,1779
-1,2923;26,5752;335,1946
-0,7419;26,5616;335,2233
-0,3175;26,5433;335,2507
-0,0829;26,5319;335,2666
-0,0829;26,5319;335,2666
-0,0829;26,5319;335,2666
-0,0829;26,5319;335,2666
-7,0531;25,8063;336,8977
-7,1475;25,8326;336,9173
-7,1475;25,8326;336,9173
-7,1475;25,8326;336,9173
-7,1475;25,8326;336,9173
-7,1242;25,8261;336,9125
-6,4677;25,6491;336,7861
-5,7845;25,501;336,712
-5,2315;25,4351;336,7374
-4,6881;25,4263;336,8448
-4,2056;25,4517;336,9655
-3,3009;25,5199;337,0858
-2,1142;25,6014;336,7881
-1,07;25,89;336,0912
-0,2949;26,3653;335,2977
-7,1346;25,814;336,8883
-7,7255;26,9336;337,208
-8,3148;28,4265;337,2967
-8,6461;29,9415;336,9028
-9,0736;31,3833;336,5863
-9,7214;32,7151;336,5152
-10,4175;33,8284;336,5137
-11,0586;34,8048;336,5638
-11,6466;35,8525;336,7415
-12,1948;37,2219;337,1307
-12,5844;38,6862;337,5555
-12,9711;40,324;337,9817
-13,4654;41,744;338,3582
-14,0841;42,9593;338,6776
-14,7257;43,9474;338,904
-15,2388;44,7434;339,0206
-15,6918;45,6016;339,0549
-16,0404;46,7296;339,0059
-16,0073;47,9263;338,94
-15,5199;49,0503;338,8847
-14,458;49,9654;338,6498
-12,9409;50,1672;338,0767
-11,2364;50,4388;337,5874
-9,4509;50,6941;337,2094
-7,9984;50,0089;336,7075
-6,4005;49,0418;336,3005
-4,6046;48,2258;336,1239
-2,7179;47,4234;336,0482
-0,7194;46,6886;336,2196
1,429;46,8332;336,398
3,2514;47,4778;336,4389
4,9609;47,7009;336,5001
6,3626;47,6007;336,5911
7,5418;47,2618;336,7156
8,4634;46,503;336,9052
8,8921;45,5254;337,1227
9,1196;44,4001;337,4039
9,2535;43,3797;337,7151
