"...1";"...2";"...3"
-29,7385;8,5259;325,8681
-13,4448;2,4809;326,0891
-17,513;4,026;324,2223
-28,5769;7,5138;326,264
-21,1394;3,351;329,1037
-18,842;0,8957;338,3805
-17,6622;2,3188;329,6324
-20,104;1,4377;339,52
-19,444;1,5484;336,2246
-26,6937;5,3214;333,5866
-17,5099;3,151;326,1104
-24,3506;3,9515;340,6307
-16,0283;0,9932;331,8101
-20,4619;2,1775;336,0953
-17,5049;0,5302;334,9246
-26,1068;5,1994;337,4969
-18,4972;3,3533;325,7587
-16,6154;0,0683;334,3677
-22,5329;3,3683;335,2328
-26,4332;5,7011;330,7305
-27,7571;6,4397;339,1039
-21,7559;2,7961;336,3361
-26,07;6,2489;326,5202
-24,1105;5,3286;326,1815
-29,0859;6,7183;335,8273
-16,5257;2,8703;326,3729
-15,3061;1,0112;330,8707
-18,5289;2,6578;329,3301
-28,0342;6,4366;330,8294
-21,181;2,1095;339,2502
-15,4867;1,678;329,5117
-24,9792;4,7446;331,4078
-15,3435;2,3684;327,0819
-26,1023;5,1598;340,0959
-16,9518;2,0532;329,979
-16,8681;1,2243;332,2849
-27,8521;6,1027;336,4593
-29,1153;7,1454;328,7762
-14,1034;2,1721;326,9666
-15,1155;2,0498;327,6549
-17,8532;1,2953;332,7754
-17,8696;0,3609;337,3954
-27,9006;6,1087;333,5027
-24,118;4,1094;335,2297
-23,4838;4,1416;332,1582
-21,961;3,4329;332,2878
-18,8426;1,6343;332,9452
-24,2752;3,9796;338,1238
-14,8169;1,7842;328,5796
-14,2873;2,2081;326,8721
-22,6534;4,33;326,9641
-24,8429;5,1052;328,7649
-18,4268;1,0096;335,6956
-15,7457;2,6312;326,5385
-19,7584;2,165;332,8022
-20,6655;2,7236;332,3858
-27,3089;6,3351;328,3575
-25,5709;4,8187;334,5382
-19,6674;2,9612;329,1102
-20,5418;3,7407;326,3958
-29,2538;6,9354;332,8125
-22,6664;2,8443;339,7344
-22,9454;4,0774;329,2926
-5,1972;39,1439;329,6397
-0,1524;12,6888;326,5394
-27,4276;50,7953;326,5849
