"...1";"...2";"...3"
-16,0301;-1,3627;334,2392
2,9068;5,6537;330,9694
-3,0354;5,328;329,9666
-13,9457;0,0521;333,3349
-5,5777;3,0257;332,5624
-5,3563;-0,7941;337,6822
-2,2019;3,1653;333,4036
-6,4633;-1,405;337,9607
-4,9554;0,3115;336,5069
-10,876;0,2542;334,309
-2,3639;4,5038;331,3409
-9,6557;-1,629;337,3566
-1,2132;2,6292;334,4979
-5,6597;0,393;336,1534
-3,2486;0,9927;336,1562
-10,3533;-0,5133;335,4092
-3,602;4,5227;330,9014
-2,5067;1,1625;336,1258
-7,0504;0,7925;335,096
-10,8991;0,7128;333,7633
-12,3897;-1,6094;335,7374
-6,6305;0,3369;335,8522
-10,2607;1,968;332,4724
-7,8056;3,03;331,8896
-14,3982;-1,5416;334,6375
-1,046;4,484;331,7756
-0,2272;3,1197;334,0707
-3,1793;3,2076;333,0375
-13,2407;-0,3939;334,0562
-7,0109;-1,1982;337,5141
0,0501;3,7748;333,1271
-8,9853;1,3829;333,67
0,7271;4,5886;332,0693
-10,8271;-1,5585;336,3507
-1,4288;3,174;333,6239
-1,9095;2,337;334,7528
-12,3905;-0,8304;334,924
-14,7609;-1,0105;334,0782
2,0997;5,1144;331,4345
0,9999;4,5722;332,1615
-2,7506;1,9481;335,0388
-4,5024;-0,3539;337,4896
-12,7603;-0,4742;334,3516
-8,3593;0,6508;334,8274
-7,6018;1,6337;333,7417
-6,3136;1,8839;333,8908
-3,5728;1,7515;334,9879
-8,8715;-0,4498;335,9643
0,898;4,3503;332,517
2,0589;5,1136;331,4329
-6,4634;3,3022;331,8775
-8,8313;1,9592;332,9736
-4,0576;0,608;336,4245
0,1015;4,5669;331,9635
-4,4162;1,806;334,6652
-5,1828;1,9607;334,2037
-12,0762;0,5419;333,4984
-9,5698;0,5103;334,5263
-4,3344;3,2172;332,7022
-4,988;4,0346;331,3685
-15,2783;-1,4661;334,3212
-7,9691;-1,3486;337,1797
-6,9954;2,5433;332,7639
7,3616;54,1422;336,3164
20,2263;17,0993;338,9494
-25,8166;49,6122;334,1674
22,3758;19,1751;339,9419
21,7726;26,8377;340,035
19,3653;16,6176;338,5997
9,2098;8,123;334,407
-0,6694;7,7124;331,0543
5,3744;57,1372;336,1477
13,2999;28,2067;336,2969
-1,797;39,5045;334,8076
-14,0584;51,1685;334,4192
22,2937;20,9673;340,0678
-29,4133;45,4546;334,4845
9,0624;27,1051;334,2237
-8,9623;56,8848;334,5973
21,9855;39,3363;339,0856
4,7516;17,3676;331,5064
-15,1253;49,2815;334,6799
16,3587;15,679;337,3989
-19,0773;41,907;334,6665
-16,989;2,3371;334,0865
-14,7857;6,6593;332,4736
8,7314;15,5286;333,3744
18,67;33,7725;338,4669
-12,7457;42,9524;334,9817
6,7216;42,0785;336,0986
-4,6374;5,2794;330,7108
2,6034;29,6547;332,7024
-24,38;51,0136;334,0071
3,1209;6,6198;331,2248
24,8283;20,132;341,0104
0,1363;58,0462;335,5425
4,8945;21,1729;331,8295
-3,6879;56,6297;335,0783
2,2189;49,7832;335,3851
-16,0955;47,2047;334,8821
12,8079;12,8511;335,7948
2,2359;6,7716;331,5575
17,2568;37,3854;337,8531
-13,1968;40,0911;334,4092
11,427;14,0674;334,9428
14,5713;24,3195;336,6056
18,5327;18,5722;338,3273
-29,6259;38,584;334,5031
9,4259;10,4444;334,0597
9,9421;18,8492;334,0639
-22,1139;10,2575;334,0484
13,7065;16,8834;336,0883
0,0955;6,6341;331,0877
-10,4027;45,3078;335,0941
-28,9648;32,4422;334,1932
5,3433;34,4702;334,7511
2,0482;47,1382;335,5651
26,1115;21,8362;341,6166
-8,5614;4,0248;331,5581
-26,9813;17,3994;334,1689
8,2522;8,5107;333,56
-21,9723;52,9618;333,842
5,7891;8,8171;331,961
-28,4695;48,2695;334,3058
3,6046;13,965;331,9291
-23,2327;31,934;333,5544
1,2658;44,2068;335,7644
-29,0685;28,4957;334,2031
6,6501;12,4996;332,1722
-8,2365;54,843;334,6324
9,9809;55,6706;336,6504
-1,2311;23,4019;330,3284
-15,1566;26,4514;331,6032
-21,3712;48,7785;334,4239
13,2223;36,4694;336,8413
7,3928;39,0057;335,847
21,2719;41,9783;338,8582
-8,8975;50,053;334,8582
-23,9449;14,2451;333,8416
-27,3616;20,8173;333,9911
-5,8901;13,0566;329,6197
11,3201;31,9574;336,0245
-19,9857;6,3382;334,3402
-17,8314;14,6668;332,0595
16,5197;44,2354;337,5644
-10,6001;9,9918;330,6426
-21,9204;27,831;333,1192
13,4106;49,9676;336,6456
-29,2721;35,6926;334,4348
6,842;8,3833;332,6853
12,4143;52,6136;336,9251
-11,4996;33,2274;332,9034
-20,1219;50,3826;334,1963
3,7977;37,6868;335,135
0,6783;33,382;333,4979
14,4495;54,5421;337,217
7,2675;30,991;334,4648
-1,5145;11,9874;331,31
19,7296;50,188;338,0701
-4,4622;31,7088;332,3454
-3,4945;48,6597;335,0908
-12,8525;17,928;330,5964
16,5155;47,5453;337,3813
-2,5855;27,6226;331,2241
10,1823;22,7566;334,1742
-19,0113;38,5708;334,115
18,0149;52,6717;337,8249
3,9237;9,4232;331,8419
12,0307;11,1847;335,4315
12,0603;10,4684;335,5039
1,9992;10,7589;331,979
-6,0695;9,4876;330,0357
16,6423;40,8224;337,608
-0,6643;15,386;330,4344
22,6662;34,3889;339,718
-6,2185;35,1808;333,4416
-9,6954;47,8125;334,977
25,0246;28,0003;341,4023
-20,0882;18,7888;332,3382
-12,8267;36,7928;333,7213
2,3472;52,6066;335,66
-24,3506;43,7701;334,5139
1,9576;55,513;335,6795
15,2902;13,2769;336,9853
-16,2592;10,6204;332,1238
21,71;37,5868;339,0294
16,7195;29,2637;337,8821
4,6132;6,5281;331,6524
19,0409;22,0856;338,6448
-0,6234;19,2659;329,7244
15,8569;13,5637;337,3648
18,5755;25,5456;338,5117
14,9485;20,3429;336,6646
-24,0333;36,2231;334,0084
23,5526;30,8973;340,4782
-2,958;53,9631;335,1444
12,1126;39,8437;336,6592
16,4915;14,318;337,547
8,4265;11,3218;333,3815
-8,3499;52,2961;334,7146
-10,5948;5,8807;331,6959
14,9381;32,9466;337,2569
7,8053;48,4084;335,9969
-7,0397;20,8386;329,8847
-6,0795;6,5083;330,8054
-4,4604;43,38;335,4114
-14,1029;21,9491;330,949
26,8906;24,8957;342,397
-18,4;52,1821;334,0155
23,331;23,6167;340,6073
-8,1802;25,0082;330,5094
-18,0448;44,8455;334,7903
-6,3126;16,8351;329,5084
-7,2317;41,2117;334,9006
-4,1145;46,1073;335,3093
9,4707;35,5421;335,8533
-16,5813;30,7098;332,7653
7,6301;51,2328;335,9711
-2,2264;8,8707;330,5745
-18,0883;34,7249;333,5336
-20,8208;23,2731;332,497
21,7526;47,3147;338,7867
19,9424;30,2932;339,1514
11,6101;46,1688;336,5817
6,6276;45,0676;336,0409
-9,7192;29,3017;331,5795
-3,0581;51,2108;335,1
-11,5082;13,8788;330,4413
1,457;41,331;335,5295
4,6734;6,5994;331,6527
4,2676;25,4491;332,0476
11,6697;42,9842;336,7113
-13,1429;53,4279;334,2955
-29,457;41,9296;334,512
21,8733;44,3388;338,9624
-23,3852;46,7032;334,6855
21,8264;18,1646;339,6605
-24,6697;40,108;334,4021
-0,9662;36,5131;334,2672
-27,8102;24,6878;333,9919
-13,7885;1,6908;332,9029
-16,1666;54,6912;333,9684
-7,2223;38,2979;334,1909
-27,8137;29,5062;338,4639
-3,2752;35,6385;342,8512
21,7834;17,3925;342,5227
5,277;5,5937;338,5128
-9,2616;2,3052;339,1971
22,4722;24,466;345,997
7,815;35,9267;343,6784
-13,5351;0,5829;337,6306
21,3005;42,2686;339,9451
-14,2813;-1,5001;336,2635
-30,586;27,7901;336,4707
-4,5982;43,4447;339,7133
3,9061;13,4088;351,2378
-4,0388;23,3683;346,5581
1,1032;57,1095;336,4527
5,1847;30,9335;345,989
-5,457;-1,6414;339,1273
16,5376;13,7116;345,3055
1,7035;52,8887;337,8129
-15,0418;19,1299;339,3967
-13,6111;39,8095;340,5005
-1,1118;17,7509;347,4426
11,214;11,6542;356,5911
15,2993;48,3578;339,6041
-27,7643;38,8981;339,0582
-3,6644;53,9596;336,9638
11,2565;27,9823;346,5329
-5,6835;38,2413;341,4369
-7,4243;18,1828;342,9035
1,8745;25,5721;348,1757
8,9316;7,6275;341,1664
-25,9252;24,8499;337,3144
6,6205;55,7439;337,2367
19,5285;16,0621;340,7093
16,6028;25,0466;347,0122
0,6737;2,574;340,2368
-8,4277;5,566;340,093
-16,3997;-0,2954;335,2773
19,6426;34,1612;341,3709
24,4718;21,8293;348,2463
-24,5844;44,3232;337,924
-17,2795;45,6087;338,2701
3,5289;34,3771;344,2658
-18,6823;30,8737;342,7185
17,2379;37,694;341,033
-23,9751;45,081;337,6815
16,5767;41,5405;340,5692
10,3591;44,7195;340,7855
10,5621;18,3277;354,3917
-4,2113;47,0866;338,8103
3,9888;20,7786;351,5075
-9,8911;49,6939;337,5851
-9,8143;56,3024;335,4849
14,5475;12,7069;350,9673
20,6725;50,7554;338,9984
-1,7326;0,7702;343,4968
6,7929;9,2118;353,6199
1,5855;3,812;334,2906
-28,5653;19,364;335,7921
-18,4815;23,6007;339,1284
12,7968;54,2929;337,8467
-29,1916;46,6944;335,9577
2,3359;3,2596;345,2485
15,3689;44,773;340,2542
-1,3418;33,0115;344,2642
-20,949;50,0514;336,1268
3,4113;4,1269;343,5665
-11,0364;0,0951;338,36
10,9469;8,6553;336,984
19,8313;18,7719;352,4508
-11,8395;-1,6819;337,4729
-7,1705;-1,5688;339,4752
11,9841;49,8812;339,1173
18,6802;21,3807;349,9709
27,1955;21,1715;345,1789
-14,6273;54,653;335,4487
-26,6537;49,4997;335,0848
-4,7338;57,2554;335,8904
23,3297;18,5587;348,4845
-18,1795;15,2675;337,7524
10,847;9,3285;348,7174
-12,0537;43,2169;339,3693
-22,6834;47,5854;336,8313
-26,7959;13,5713;335,5945
-1,4327;1,1514;337,1941
13,1826;24,0262;349,0449
-24,9691;31,5886;340,9198
22,7377;39,1788;340,1914
13,7239;33,5299;342,9907
-25,4032;51,1029;334,8183
-3,9555;7,5566;343,8414
-10,9159;23,2429;342,1887
-1,1473;4,8253;346,3287
-7,7308;40,6609;340,4531
-13,3475;27,6256;342,6802
-3,4003;12,5951;344,7654
17,7075;53,0424;338,5607
-5,9533;-0,1702;341,3771
-10,6513;14,3251;340,3103
20,1019;16,2853;348,1586
-21,1266;40,1292;340,066
25,4337;28,6882;342,8418
11,9788;37,3435;342,3992
0,7432;29,5141;346,0723
7,2217;27,0909;347,941
-9,3245;34,6123;342,4984
-24,0678;15,5338;336,3173
-2,8862;-0,2853;340,5174
-23,7847;35,4276;342,1793
24,2685;19,3563;343,5094
-20,1766;52,7805;335,0846
7,1604;6,2506;346,1185
-10,3446;46,1961;338,5084
-11,8516;31,6877;343,5555
-16,0189;37,7275;341,2358
-15,9492;48,5503;337,4434
-16,1056;2,1529;336,7015
1,2881;2,4549;346,5551
-15,1675;51,5449;336,515
-16,7433;34,8805;342,2392
15,9469;17,2276;355,3171
-3,6246;-0,8112;341,1424
3,4678;5,973;350,3399
8,8165;23,0019;350,5346
-0,6432;1,5663;342,5343
23,3392;32,3288;341,5346
1,6252;49,0529;338,6748
-12,7921;3,4658;338,0274
-15,0024;11,0489;338,0073
-26,0438;42,4554;338,6275
-8,5015;9,8004;340,5741
-18,7105;42,6758;339,2292
1,4611;37,4339;342,8964
-23,8201;8,5268;335,727
5,8255;39,4119;342,4202
9,5265;8,2657;351,8495
-23,206;20,0767;337,0496
1,6722;45,1152;339,8734
-15,7262;-0,9926;335,3148
-20,7114;3,9832;335,8919
-5,3314;3,8331;342,3405
5,1584;6,1571;333,3521
-6,5309;1,3873;340,8215
27,917;24,954;345,0747
15,1403;20,3748;352,1215
-5,5217;31,7021;344,1344
15,207;12,7898;338,7667
-29,1122;34,8708;338,4155
1,3023;8,8405;348,448
-22,5648;37,9957;340,9222
-8,545;-0,0742;339,3001
-21,0712;10,705;336,4573
-10,0244;36,9679;341,531
7,0597;51,4926;338,3732
-29,6457;23,2364;335,9116
21,2017;47,1094;339,5369
-4,1259;50,6202;337,9387
-5,8056;28,5212;345,5676
11,1398;40,6268;341,7266
15,718;29,5557;344,1673
6,0318;5,1443;348,5172
6,4519;42,3333;341,427
9,6074;31,9858;344,8873
-13,1726;7,1316;338,227
-9,3962;53,0619;336,6481
12,9789;10,6092;342,9875
13,2959;11,9761;354,3432
-1,2484;39,745;341,511
-18,3116;6,0831;336,5462
-31,846;32,0298;336,1115
20,3801;28,2976;343,6552
-9,2329;-1,143;338,3664
18,3689;15,6;352,4661
6,9268;47,3798;339,6406
-30,6829;42,8418;335,9997
-30,9499;38,391;336,1288
-20,8172;27,8208;339,878
1,2743;41,4145;341,2558
-3,653;1,8767;344,1237
-27,5845;48,3334;335,4443
-16,0602;-1,2848;334,2517
-13,3894;1,0998;332,8059
-10,3474;2,5178;332,0122
-7,6444;3,3287;331,5831
-5,6535;4,1648;331,2926
-4,0386;4,8103;330,5393
-2,471;5,3227;330,0859
-0,7672;5,5738;330,5302
0,5142;5,4859;331,0621
1,6574;5,4971;331,2351
2,4352;5,6002;331,099
2,8257;5,6664;330,9927
2,8257;5,6664;330,9927
2,8257;5,6664;330,9927
2,8257;5,6664;330,9927
-15,8741;-1,4153;334,2118
-15,7124;-1,4534;334,3225
-15,4902;-1,5075;334,4744
-14,7312;-1,7344;334,9929
-13,5011;-2,3188;335,8614
-12,2748;-2,2859;336,9756
-10,5579;-1,5439;337,4685
-8,897;-1,6861;337,9817
-7,7587;-1,9583;338,3572
-6,6681;-1,8859;338,4304
-5,7535;-1,505;338,3958
-3,989;-0,3611;337,7458
-1,4453;1,7263;335,7704
0,7675;3,7369;333,4902
2,6777;5,7271;331,0118
-16,149;-1,2899;334,3079
-18,3961;0,4502;335,1984
-21,2014;3,1618;335,5746
-23,6833;6,4098;335,3914
-26,0624;9,7887;335,1704
-27,969;13,1739;335,15
-29,4718;16,5904;335,1525
-30,2972;19,977;335,22
-30,9812;23,5057;335,3831
-31,8774;26,9886;335,2943
-32,3346;30,3342;335,0097
-32,1978;33,3195;334,9309
-32,1407;36,1036;334,912
-31,9308;38,9363;334,9528
-31,8035;41,9408;334,8738
-31,9385;44,8766;334,542
-30,8711;47,4635;334,3977
-29,6794;48,8044;334,3352
-28,8039;49,5643;334,2487
-27,4773;50,5399;334,0927
-25,1477;52,1084;333,9323
-21,8111;53,8098;334,2204
-17,8594;55,0272;334,6338
-13,7204;56,1689;334,6941
-9,4989;57,339;334,9513
-5,1997;58,4062;335,413
-0,6409;58,5815;335,7568
3,901;58,2346;336,4412
8,2859;57,0767;336,956
12,5417;56,0092;337,3841
16,5246;55,2;337,9365
19,7393;53,8906;338,423
21,6399;52,2565;338,7772
22,7534;50,2133;339,0472
23,3011;47,7616;339,3025
23,6835;45,2705;339,6339
23,989;42,5854;339,8883
24,2002;39,8968;340,0564
24,434;37,2648;340,4429
24,734;34,5436;340,8077
25,3293;31,7661;341,129
26,7647;29,2572;341,9042
29,0059;27,4768;343,1666
30,0922;24,0809;344,0792
28,7367;22,7491;343,4578
27,2976;21,6105;342,6831
25,8176;20,5322;341,7389
24,0667;19,4695;340,6851
21,6403;18,134;339,5657
19,03;16,1551;338,4891
15,925;13,5154;337,6532
12,7774;10,9003;336,0589
9,7413;8,3656;334,6105
6,3069;6,9233;332,7379
3,0207;5,6648;331,0572
