"...1";"...2";"...3"
-0,5528;8,4959;368,0841
10,5002;10,1669;363,6625
8,5236;9,8167;363,6734
0,7584;8,1901;367,8828
7,2353;8,3639;366,2341
9,19;6,9604;369,005
9,2183;8,7031;365,4324
8,1529;6,8314;369,336
8,4224;7,5211;367,8579
3,633;7,1027;369,9123
8,916;9,2628;364,3545
5,1086;6,5992;370,5645
10,229;8,3499;366,2557
7,7278;7,5457;367,8977
9,8839;7,6819;367,5579
4,1445;6,8191;370,4029
8,2849;9,2266;364,4825
10,6524;7,683;367,6948
6,5055;7,4731;368,1395
3,5562;7,4522;369,1031
2,6595;6,2394;371,9983
6,9356;7,4238;368,2244
3,2752;8,1688;367,2425
4,9577;8,3383;366,4481
0,9559;6,4371;372,2914
9,581;9,3451;364,2437
10,4779;8,5372;366,0414
8,6723;8,6743;365,5297
1,8194;7,3116;370,0014
7,3024;6,9773;369,1864
10,2095;8,9418;365,2066
4,9545;7,5474;368,439
10,3579;9,577;364,344
4,0328;6,4372;371,1728
9,6335;8,7097;365,4366
9,8068;8,2654;366,3134
2,4926;6,5549;371,4183
0,5036;7,6644;369,5117
10,3279;9,6949;364,1035
10,3966;9,5105;364,5013
9,3153;8,1472;366,5003
10,1625;7,0262;369,0299
2,2266;6,9082;370,8044
5,5414;7,3145;368,7775
5,9598;7,6569;367,8474
6,8771;7,8807;367,2534
8,7683;8,1116;366,6265
5,3582;7,0501;369,6422
10,2709;9,1841;364,8721
10,5473;9,8675;364,1096
6,2355;8,3843;366,1483
4,8247;7,8408;367,7038
9,1763;7,5681;367,686
10,1378;9,5291;364,2091
8,1776;8,0933;366,7276
7,6431;8,0559;366,8452
2,4906;7,7655;368,5825
4,6116;7,2183;369,4
8,0248;8,5727;365,7849
7,3503;8,8972;365,2511
0,2508;7,0193;371,5603
6,3179;6,7539;369,5833
6,2287;8,0168;366,9693
12,4774;56,3589;370,9825
24,3968;24,9481;367,8436
-20,4741;49,2006;373,4947
25,4068;27,6612;368,2991
24,8941;38,6368;368,7975
24,9497;24,0132;367,7788
16,1039;15,2953;364,5903
9,0935;12,5407;362,9054
9,6919;56,421;371,0156
18,591;35,9233;368,6038
6,9216;45,4857;371,3042
-9,8413;53,1582;372,1643
24,8582;29,8454;368,3406
-20,756;42,4811;374,3404
14,2467;32,5689;367,2076
-6,5705;57,0092;371,2529
32,8963;57,44;369,4305
9,9518;22,239;363,4135
-9,6023;51,153;372,4622
20,7558;22,9271;366,5026
-9,7373;41,8482;373,0621
-3,0793;11,4173;368,2293
-3,2216;12,784;368,053
13,7099;21,3202;364,0109
26,0395;48,5843;369,1397
-4,0515;45,3429;372,5723
15,2468;52,2887;370,7185
6,9312;9,9553;364,4938
9,0702;33,5137;367,4872
-20,9122;52,2434;372,9629
11,8186;11,5973;363,6337
27,7739;29,3873;368,5349
3,6671;56,8803;371,1439
9,773;25,7032;364,4323
-0,5106;56,4674;371,3907
8,5518;54,4733;371,4437
-9,2097;48,6595;372,742
18,4585;19,7844;365,276
11,2404;11,8594;363,3181
26,4052;52,8226;369,479
-3,752;41,8436;372,2942
16,5851;20,5464;364,8211
18,7542;31,2902;367,4711
21,967;26,0831;367,3658
-20,0782;35,7009;374,1762
16,1565;16,8975;364,3204
14,2777;24,6281;364,7034
-12,0008;12,9047;371,8425
17,8711;23,5489;365,6908
10,0651;11,4646;363,1497
-2,7153;48,6002;372,4151
-18,0291;30,4175;373,6033
13,0651;41,3408;370,1007
9,2782;53,548;371,4623
27,2881;32,588;368,5628
3,7301;9,5497;366,0529
-17,7488;17,1534;373,8213
15,5;14,8828;364,237
-20,2357;54,9942;372,3904
13,3518;14,5523;363,4376
-21,3043;46,068;374,1282
9,9823;18,9724;363,0145
-12,7605;30,8979;372,3368
9,272;51,6605;371,3719
-18,1633;27,0036;373,5511
12,8094;18,1171;363,4306
-5,2002;55,7799;371,5829
15,0727;56,7762;370,8343
4,4914;26,466;365,2252
-6,7058;26,9346;369,4192
-15,3763;48,9285;373,1538
21,3971;49,2159;369,7238
15,8027;49,2893;370,4071
32,1023;59,2683;369,6671
-3,5257;52,8139;371,9907
-14,6666;14,9027;372,91
-17,9454;20,2483;373,5012
2,3978;16,999;365,0544
17,9345;40,7495;369,6106
-8,32;12,6238;370,182
-9,0354;16,3609;370,1502
25,9813;57,9282;370,0777
-0,8304;14,4432;366,4923
-12,2773;27,2377;371,644
20,3324;57,4472;370,4591
-18,999;33,1596;373,8968
14,3992;14,3218;363,801
18,3203;57,3079;370,5596
-2,2583;34,4143;370,1394
-15,7401;51,5724;372,7059
12,0802;45,4808;370,7124
8,4958;37,5773;369,384
20,0153;57,8062;370,4302
13,829;36,9201;368,8183
6,6855;16,5005;363,3908
26,8458;59,3462;369,9602
3,4576;34,1143;368,5625
2,8823;52,8887;371,8257
-5,0758;19,7492;368,0379
24,6548;58,3556;370,1096
4,0452;30,2227;366,7395
14,4639;28,3446;365,7593
-8,9425;38,2762;372,6368
24,1749;58,8185;370,0662
11,6733;14,7551;363,0237
18,5478;18,216;365,0088
18,8786;17,6064;365,4028
9,8489;15,7984;362,6904
3,4574;14,1057;364,5556
26,5895;56,2603;369,8371
5,9244;19,5856;363,442
30,8844;51,6242;368,9397
2,8042;37,937;370,3697
-3,1837;51,0149;372,1377
27,5051;42,1766;368,7042
-11,456;19,285;371,0552
-3,0392;38,148;371,4845
7,6022;55,2449;371,3767
-15,4765;42,0443;373,8175
6,1368;56,0335;371,2648
21,6141;20,6102;366,2405
-6,3808;14,3145;369,2285
31,7101;55,1912;369,2162
21,8782;39,7581;369,1402
12,0665;11,7629;363,7087
22,356;30,1318;367,9625
5,0807;22,9628;363,9803
21,9009;21,0752;366,3636
22,481;34,7466;368,568
18,627;27,0968;366,5366
-13,6226;34,6718;373,0926
28,795;46,8116;368,7422
1,1629;55,2885;371,5994
21,039;52,8648;370,0621
21,8037;21,8527;366,5095
14,8004;17,4762;364,0061
-4,0922;54,2658;371,8868
1,0432;11,6885;366,3578
21,773;44,7666;369,5057
15,0072;55,599;370,9744
-0,4401;23,2041;366,0088
4,7976;11,3736;364,7268
3,6899;48,8122;371,858
-6,2768;22,9982;368,6405
27,453;38,0104;368,6092
-15,516;53,9515;372,3751
25,4069;34,1217;368,5816
-1,1304;26,7371;367,0757
-9,7972;45,4594;373,0914
0,8293;19,9781;365,441
1,6009;45,4447;371,9168
3,2416;51,2205;371,9597
17,1734;45,3815;370,1043
-7,2093;30,8433;370,5304
13,7527;56,0127;371,0028
7,0956;13,4701;363,2007
-7,9508;34,6087;371,715
-11,8822;23,1965;371,2129
30,2897;60,0568;369,7606
25,0488;43,6525;369,0308
19,9104;56,4236;370,579
14,7732;54,1983;370,9473
-1,6191;30,5856;368,4896
2,2686;54,0914;371,6977
-3,0534;16,89;367,2384
9,8462;49,1103;371,145
12,5078;12,006;363,8836
9,5314;29,5109;365,7826
20,7172;55,2992;370,3719
-10,2165;54,9675;371,8844
-20,4671;38,8544;374,3511
31,8543;60,0487;369,6663
-15,7176;45,6679;373,6785
26,4032;26,0789;368,3104
-14,8562;38,2534;373,5741
7,6803;41,6037;370,7534
-17,8099;23,7258;373,3214
0,2797;9,5299;367,3431
-14,2913;55,8806;371,9125
1,9992;41,7457;371,4546
-14,5257;28,5359;375,9991
10,3485;44,6309;379,801
28,1312;25,8431;370,567
16,0251;12,9088;368,5507
5,1674;10,0346;372,7792
29,0172;39,7065;376,3721
21,5687;50,7245;383,1675
2,204;8,0846;373,8231
33,062;59,0484;372,2772
1,1893;6,2199;373,9485
-18,4223;26,2865;375,754
6,9024;49,4833;379,1464
15,6367;21,0404;376,4901
9,0091;27,5762;376,2467
5,8063;56,15;372,4021
18,649;41,5149;380,9056
9,4229;7,1433;370,484
25,6726;22,1185;372,7876
8,6251;54,203;374,6243
-2,7492;21,0812;376,2511
-0,7333;45,2537;380,106
10,8552;22,9627;376,3109
22,0807;21,5935;378,4833
24,9376;56,3096;374,9675
-15,5168;37,3455;377,1047
1,9394;54,47;373,9573
24,063;40,96;383,4818
7,5341;46,5709;380,3722
4,625;21,9138;375,6106
15,0653;31,585;377,5729
19,5121;15,8578;369,8587
-13,1255;24,2424;375,7228
12,3895;56,1094;372,7874
26,2036;24,006;369,5342
28,9267;40,1905;382,2771
14,1413;10,1987;371,3058
5,1182;12,1878;373,805
-1,2369;9,0254;369,7064
32,9629;52,8266;376,0496
29,2458;34,1771;375,0077
-14,4628;44,8509;377,592
-8,196;49,295;378,8034
16,9759;45,9469;381,752
-4,3099;33,0649;376,9434
31,0756;56,1284;377,5818
-14,6502;47,1055;377,6375
29,4415;56,4187;376,5377
22,5385;53,4226;378,8854
22,7807;25,8804;380,3452
5,3097;51,0221;377,1337
16,2554;26,3153;377,9124
-2,8251;52,6036;376,3319
-6,5501;56,7227;372,6041
26,1271;21,2642;376,5298
28,0983;59,2358;371,1669
12,7106;11,4178;371,975
18,9419;18,2897;377,3612
11,4796;9,4839;366,2397
-18,1909;18,8105;375,1712
-5,7184;24,5449;376,2188
19,4641;56,9049;372,4399
-20,6073;44,2403;376,4883
16,621;13,3333;373,2568
26,8335;56,0356;376,238
12,4026;41,5295;378,9968
-16,0359;52,4424;375,8671
17,1263;13,0445;372,3965
3,7959;8,1993;372,5666
18,4538;16,6117;366,2846
29,8139;29,1459;379,1312
3,4361;6,5952;372,6746
7,836;7,2941;370,7789
21,3188;55,099;375,6611
29,0895;34,4908;380,8384
29,2666;33,1248;371,0841
-11,6172;55,548;373,152
-21,5751;50,5191;375,251
-0,8359;56,7103;372,3649
29,6658;29,0413;374,6738
-5,9729;16,9728;376,7694
23,0826;18,4341;375,1071
-0,8756;48,9355;379,7161
-15,7285;49,8325;377,7023
-16,4421;13,8157;375,1938
11,7621;8,1924;368,6311
25,2355;35,2835;382,8051
-10,8862;31,5204;376,5624
35,5381;58,9887;371,8903
28,1925;52,1408;383,1319
-22,1482;53,0476;374,4374
8,8719;15,0885;373,7991
1,8107;25,8619;376,0489
12,4788;14,4787;373,2157
4,8647;47,7868;380,5554
0,2731;30,1156;376,1395
8,5869;18,5848;374,9154
24,5901;58,2968;371,584
9,1423;9,2986;371,5969
1,6589;17,8357;376,3131
28,8351;25,2689;374,7411
-8,1889;42,8363;378,5654
30,3783;45,1869;370,6291
26,699;52,8613;381,4878
14,2391;36,6893;378,1448
20,3683;36,3595;380,3288
4,518;40,3697;378,1632
-12,538;15,9635;375,6137
11,797;8,6963;370,8801
