"...1";"...2";"...3"
-8,0987;31,965;320,1991
18,5381;31,7964;325,8694
3,6094;30,964;320,6598
-7,0266;31,4827;320,5258
0,3859;28,6917;322,5804
5,8978;25,2;327,6375
6,7627;29,0618;323,9344
3,4314;24,9814;327,3215
4,8676;26,3247;325,9595
-6,4349;27,1284;324,1035
5,0218;30,0191;322,2305
-2,9704;24,5116;325,7687
11,9639;28,4626;326,689
2,9752;26,3919;325,3867
8,9343;26,8484;327,147
-5,3261;25,5749;325,0095
3,06;30,0921;321,4728
10,7282;26,9987;327,9745
-0,5471;26,6074;324,6172
-6,1623;28,4701;323,013
-7,6971;24,8312;325,8182
0,8176;26,3152;325,1075
-4,7551;30,6236;321,0103
-2,6564;30,251;320,8536
-10,3085;26,2084;325,4831
7,3502;30,286;322,7421
14,0514;28,8237;327,1482
4,6525;28,8313;323,4547
-8,4717;28,7046;323,0866
1,8611;25,1226;326,313
12,7981;29,7818;325,4562
-4,1798;27,8557;323,1429
11,3082;30,9086;323,5946
-5,2853;24,573;325,5819
8,7149;29,2442;324,4502
9,9608;28,293;326,0243
-8,0962;25,953;325,279
-9,1706;30,1758;322,1276
17,3781;30,9412;325,7813
12,8432;30,7887;324,2897
7,8658;27,9528;325,5177
7,9701;25,372;328,2241
-8,5018;27,3784;324,3678
-2,7171;26,4951;324,4033
-2,2959;27,5372;323,4808
-0,2317;27,5278;323,7479
5,8242;27,7121;324,9838
-2,7505;25,5133;325,1317
15,086;30,1478;325,8224
15,5353;31,2201;324,6504
-1,2196;29,7754;321,2827
-3,8991;29,0495;322,0674
6,9125;26,5628;326,5266
9,5175;30,7337;323,0633
3,8319;27,591;324,4855
1,9397;27,5857;324,0661
-6,6438;29,9529;321,9584
-4,7574;26,6369;324,1931
2,4308;28,6588;322,958
0,9195;29,9518;321,1944
-10,5964;28,0736;324,4365
-0,4277;25,0634;325,9135
-1,737;28,676;322,3926
1,8848;79,6794;327,9855
13,334;45,6512;325,6752
-15,2882;61,1648;325,197
11,838;48,6409;325,7717
6,4946;56,9439;326,503
19,0213;43,8671;327,2973
19,4031;34,5526;326,4779
3,7267;33,6344;320,4982
0,9668;81,0323;327,8857
-0,4873;53,6161;325,001
-5,97;60,0893;325,7461
-8,6226;67,2246;325,89
8,9732;50,4617;325,4303
-16,941;55,0178;325,1669
-3,2474;50,5001;324,3599
-4,0392;72,0456;326,8615
8,8246;70,7504;329,0396
-1,3615;41,7667;322,3074
-9,3839;64,8977;325,5319
9,85;43,484;324,1734
-12,8434;55,4925;325,18
-9,6574;34,7691;320,61
-9,5361;36,167;321,086
3,416;41,37;322,3683
5,8543;63,9616;327,5619
-9,7255;59,2587;325,4073
-0,2334;66,846;326,7727
0,2231;31,4154;320,6203
-7,1083;50,6224;324,3934
-14,7344;63,8676;325,6361
11,8615;32,7932;322,7231
16,4414;50,6341;327,4279
-0,1548;77,5811;327,4323
-3,7388;44,5754;323,0249
-1,6984;74,6186;327,1031
-0,96;72,7707;327,0613
-10,1398;62,2587;325,3168
11,2796;40,0017;323,9033
9,051;32,7452;322,1503
5,5218;66,9721;327,8589
-11,0086;56,0748;325,2469
7,6388;40,8674;323,0242
0,8777;50,2591;324,3903
7,6498;46,7499;324,3493
-18,6964;49,3248;325,0124
12,1844;37,1067;323,6851
0,993;44,2415;322,9529
-15,3882;39,0578;321,8974
5,5317;43,843;323,2799
6,1135;32,313;321,4768
-7,8921;62,7676;325,5669
-20,1581;46,4092;324,7621
-4,1494;57,117;325,5883
-1,5281;70,0613;326,7322
12,8736;53,2819;327,0206
-3,5971;31,9168;320,4733
-19,9407;40,2683;322,6614
16,3739;34,914;324,8867
-13,3692;66,6194;326,077
10,2114;35,0768;322,7109
-16,5648;58,2403;325,0984
0,9909;39,0903;321,5576
-17,9855;47,198;324,6121
-2,582;66,7015;326,4013
-21,3491;44,6572;324,5342
5,4458;38,4566;321,8976
-4,3697;71,6948;326,7753
2,4389;83,3433;328,4076
-8,1771;44,8532;323,2459
-15,561;44,9537;323,7472
-12,6252;61,7113;325,0896
2,3822;63,9195;326,9663
-0,7731;63,7567;326,4892
8,1937;72,8444;328,9508
-6,1228;68,1651;326,1022
-17,6783;39,7945;322,2885
-20,9031;40,9751;323,1118
-6,1671;37,8369;321,5767
-0,9022;57,1631;325,7777
-12,7479;37,4504;321,4796
-14,5298;39,4019;322,1136
5,3284;73,1888;328,2361
-8,078;36,6747;321,3091
-18,3414;45,0518;324,1558
3,7789;77,9433;328,1766
-19,3069;47,8599;324,8985
13,4605;34,7966;323,679
3,6907;80,7468;328,4474
-13,0325;50,3902;324,6367
-12,0159;64,2788;325,377
-3,5903;60,4446;325,9797
-7,4421;53,767;324,9747
4,5992;84,371;328,8875
-4,163;53,7675;324,983
-1,5732;37,0459;321,2587
6,2145;80,3527;328,9966
-10,394;50,6557;324,4969
-3,8172;69,1701;326,4003
-12,743;40,5314;322,3682
5,0817;76,4603;328,4365
-9,7948;47,6573;323,8707
-1,3692;47,2598;323,6233
-13,9874;52,5794;325,0066
5,9842;82,946;329,1402
6,8148;35,3728;321,684
14,5821;38,0302;324,7614
17,6709;37,0669;325,9732
2,9966;36,4018;320,9594
-4,185;35,5677;321,1121
5,4533;69,999;328,0182
-3,8903;39,4603;321,8921
9,0499;66,5813;328,8313
-10,2073;53,4651;324,9762
-6,9567;65,6877;325,7837
9,4173;60,0072;327,7277
-16,8785;40,6747;322,659
-12,2673;53,057;324,989
-0,2676;75,4009;327,2941
-14,744;55,1496;325,1543
0,159;77,4326;327,4561
19,4974;39,8606;327,1231
-12,0582;38,0655;321,6502
8,6359;69,0969;328,8662
2,6521;57,0501;326,0578
17,7448;32,5074;325,0319
5,0112;50,1111;324,687
-6,1131;42,1303;322,5578
16,2295;40,6466;325,9204
3,5939;53,5102;325,3148
3,1967;47,0465;323,7446
-16,8064;49,5287;324,834
9,1296;63,2284;328,2772
-2,1365;73,6451;327,0112
2,4833;66,9686;327,2388
13,3973;41,9244;325,0313
8,9358;37,7893;322,727
-5,3084;70,1898;326,4772
-6,2533;34,2517;320,7583
2,5022;60,7292;326,6716
1,2639;73,8721;327,499
-10,5392;42,418;322,7475
-2,6564;33,0712;320,7632
